,id,lat,lon
0,285144531,53.6613135,91.5497750
1,285144548,53.6710616,91.5698808
2,285144550,53.6749070,91.5719479
3,285144551,53.6787309,91.5734321
4,285144559,53.6904905,91.5778685
5,285144561,53.6887529,91.5844613
6,285144661,53.6223021,91.5624833
7,285144663,53.6224071,91.5578216
8,285146238,53.6723423,91.5801215
9,285146242,53.6720245,91.5812963
10,285146245,53.6731240,91.5829378
11,285146248,53.6760412,91.5839571
12,285146251,53.6768117,91.5825543
13,285146254,53.6791361,91.5817952
14,285146257,53.6820528,91.5811676
15,285146259,53.6849804,91.5809128
16,285146262,53.6804801,91.5792096
17,285146265,53.6787103,91.5795314
18,285575163,53.6221494,91.5605199
19,285589751,53.9465583,91.6747713
20,285589758,53.9470129,91.6662311
21,285589764,53.9459016,91.6624439
22,285589772,53.9447776,91.6606629
23,285589785,53.9432621,91.6583347
24,285589795,53.9427948,91.6565537
25,285589807,53.9428011,91.6402995
26,285589821,53.9425674,91.6378212
27,285589830,53.9421822,91.6368556
28,285589835,53.9409697,91.6344631
29,285589851,53.9399656,91.6291737
30,285589861,53.9390120,91.6260517
31,285589867,53.9381530,91.6248178
32,285589874,53.9361762,91.6233373
33,285589881,53.9353172,91.6222966
34,285589886,53.9348941,91.6203546
35,285589894,53.9329929,91.6112780
36,285589901,53.9316917,91.6081130
37,285589908,53.9313442,91.6065895
38,285589922,53.9308673,91.6040361
39,285589930,53.9301567,91.6013700
40,285589998,53.9273772,91.5796494
41,285590005,53.9263159,91.5749717
42,285590012,53.9255073,91.5718388
43,285590026,53.9250777,91.5693712
44,285590033,53.9245470,91.5628481
45,285590040,53.9243322,91.5608954
46,285590050,53.9237841,91.5576902
47,285590058,53.9231996,91.5556116
48,285590084,53.9229343,91.5550643
49,285590241,53.9224747,91.5544581
50,285590250,53.9211732,91.5529990
51,285590257,53.9196063,91.5514970
52,285590295,53.9181846,91.5498555
53,285590304,53.9175464,91.5490830
54,285590312,53.9148356,91.5465939
55,285590321,53.9139951,91.5456176
56,285590329,53.9134959,91.5448880
57,285590336,53.9123589,91.5428967
58,285590344,53.9118023,91.5423453
59,285590353,53.9112272,91.5418410
60,285590364,53.9107469,91.5414762
61,285590377,53.9101528,91.5411329
62,285590389,53.9096093,91.5405428
63,285590397,53.9084965,91.5388578
64,285590410,53.9077086,91.5374296
65,285590421,53.9065251,91.5343094
66,285590433,53.9047680,91.5308118
67,285590538,53.9032510,91.5283870
68,285590564,53.9020111,91.5264872
69,285590611,53.9000019,91.5226578
70,285590726,53.8988767,91.5202331
71,285590767,53.8979537,91.5183878
72,285590817,53.8946679,91.5162742
73,285590834,53.8933639,91.5146434
74,285590841,53.8930921,91.5144181
75,285590850,53.8927317,91.5141606
76,285590857,53.8910119,91.5133238
77,285590863,53.8900382,91.5128302
78,285590871,53.8893806,91.5122723
79,285590878,53.8881034,91.5097189
80,285590887,53.8870916,91.5054059
81,285590915,53.8865352,91.5024233
82,285590968,53.8857700,91.4999664
83,285590977,53.8864467,91.4983356
84,285590983,53.8868640,91.4984751
85,285590989,53.8872118,91.4987111
86,285590999,53.8901647,91.5040540
87,285591008,53.8919983,91.5074658
88,285591034,53.8941036,91.5117788
89,285591044,53.8954929,91.5153944
90,285591055,53.8967874,91.5157324
91,285591065,53.8975175,91.5135115
92,285591074,53.8982068,91.5138770
93,285591082,53.8983690,91.5141547
94,285591090,53.8987188,91.5148347
95,285591097,53.8996542,91.5136564
96,285591104,53.9023977,91.5155125
97,285591120,53.9038704,91.5170038
98,285591129,53.9043066,91.5177011
99,285591141,53.9047933,91.5184951
100,285591150,53.9057540,91.5197396
101,285591159,53.9073657,91.5219176
102,285591167,53.9080925,91.5224326
103,285591178,53.9097989,91.5190959
104,285591190,53.9099506,91.5162206
105,285591201,53.9098179,91.5149867
106,285591212,53.9094705,91.5129850
107,285591221,53.9079661,91.5122723
108,285591259,53.9065322,91.5119102
109,285591268,53.9056781,91.5114999
110,285591278,53.9046795,91.5109098
111,285591288,53.9040032,91.5103412
112,285591300,53.9006783,91.5068114
113,285591314,53.8993634,91.5054273
114,285591331,53.8975024,91.5023998
115,285591344,53.8955558,91.4992754
116,285591359,53.8942095,91.4967500
117,285591374,53.8933766,91.4951491
118,285591387,53.8922512,91.4931428
119,285591401,53.8905029,91.4895755
120,285591415,53.8872592,91.4787018
121,285591428,53.8846002,91.4722484
122,285873304,53.9784556,91.6525626
123,285873305,53.9819257,91.6589463
124,285873308,53.9807774,91.6726255
125,285873309,53.9816844,91.6820052
126,285873312,53.9814762,91.6821098
127,285873327,53.9712842,91.7356360
128,285873329,53.9629660,91.7302608
129,285873330,53.9576385,91.7380446
130,285873331,53.9521587,91.7415583
131,285873332,53.9453143,91.7320043
132,285873334,53.9404645,91.7251539
133,285873335,53.9339087,91.7222679
134,285873336,53.9329582,91.7263888
135,285873337,53.9309684,91.7298639
136,285873340,53.9267139,91.7241079
137,285873345,53.9366309,91.6944051
138,285873350,53.9458953,91.6761982
139,285873690,53.9282743,91.7410540
140,285873696,53.9814715,91.6661292
141,285873709,53.9713095,91.7305398
142,285873710,53.9683276,91.7313069
143,285873712,53.9425042,91.7342544
144,285873713,53.9252451,91.7265111
145,285873715,53.9286122,91.7220747
146,285873716,53.9356014,91.7149347
147,285873717,53.9380046,91.7078537
148,285873718,53.9370257,91.6961056
149,285873721,53.9369909,91.6857469
150,285873722,53.9386772,91.6830057
151,285873723,53.9404329,91.6798568
152,285873724,53.9437294,91.6777432
153,285889918,53.7818940,91.4075053
154,285889922,53.7784746,91.3988914
155,285889924,53.7783756,91.3988551
156,285891222,53.7823964,91.3999280
157,285891223,53.7813504,91.3998181
158,285891224,53.7790848,91.3989007
159,285891308,53.8749807,91.4588320
160,285891310,53.8726877,91.4544547
161,285891314,53.8630434,91.4500773
162,285891321,53.8444094,91.4471161
163,285891324,53.8391649,91.4497232
164,285891329,53.8333269,91.4577015
165,285891330,53.8316054,91.4595294
166,285891333,53.8294431,91.4597762
167,285891338,53.8292690,91.4595294
168,285891340,53.8275624,91.4581507
169,285891343,53.8238278,91.4584082
170,285891344,53.8219611,91.4583063
171,285891346,53.8190588,91.4584029
172,285891348,53.8154390,91.4606197
173,285891349,53.8139536,91.4623994
174,285891352,53.8101639,91.4685470
175,285891354,53.8079117,91.4734286
176,285891356,53.8057577,91.4740455
177,285891357,53.8078137,91.4702968
178,285891358,53.8082214,91.4683269
179,285891360,53.8104680,91.4639711
180,285891363,53.8052381,91.4565253
181,285891364,53.7987118,91.4535749
182,285891365,53.7981384,91.4546907
183,285891366,53.7977803,91.4551735
184,285891368,53.7937166,91.4524350
185,285891370,53.7922162,91.4497018
186,285891371,53.7914779,91.4480603
187,285891374,53.7895353,91.4445519
188,285891376,53.7873937,91.4410087
189,285891379,53.7824487,91.4389300
190,285891380,53.7813267,91.4367950
191,285891382,53.7851301,91.4344990
192,285891384,53.7868938,91.4319268
193,285891385,53.7886131,91.4306581
194,285891386,53.7894339,91.4299607
195,285891388,53.7892532,91.4271712
196,285891389,53.7885497,91.4269781
197,285891401,53.7889553,91.4258918
198,285891404,53.7919595,91.4266133
199,285891406,53.7931954,91.4231721
200,285891409,53.7925775,91.4179659
201,285891410,53.7903085,91.4055633
202,285891412,53.7863820,91.4133096
203,285891414,53.7817672,91.4092916
204,285891415,53.7799764,91.4112174
205,285891418,53.7767970,91.4188135
206,285891420,53.7772439,91.4162224
207,285891424,53.7795643,91.4102572
208,285891503,53.7956914,91.4551419
209,285892249,53.8816817,91.4681500
210,285892251,53.8771059,91.4615893
211,285892253,53.8735770,91.4573821
212,285892255,53.8702745,91.4538592
213,285892257,53.8683767,91.4528024
214,285892259,53.8638501,91.4505601
215,285892261,53.8606169,91.4486021
216,285892263,53.8573550,91.4471859
217,285892265,53.8481154,91.4457053
218,285892267,53.8464223,91.4459199
219,285892269,53.8426054,91.4480066
220,285892271,53.8409627,91.4491224
221,285892273,53.8387122,91.4497313
222,285892275,53.8355214,91.4543983
223,285892277,53.8343240,91.4560466
224,285892279,53.8308045,91.4600363
225,285892281,53.8300731,91.4601195
226,285892289,53.8279835,91.4585370
227,285892291,53.8273408,91.4580971
228,285892293,53.8248212,91.4582326
229,285892295,53.8201593,91.4581615
230,285892297,53.8170637,91.4594436
231,285892299,53.8125030,91.4641455
232,285892301,53.8115385,91.4655375
233,285892303,53.8093942,91.4705264
234,285892305,53.8069044,91.4750165
235,285892307,53.8095462,91.4660203
236,285892309,53.8079656,91.4592773
237,285892311,53.8059667,91.4584458
238,285892313,53.7968488,91.4565253
239,285892315,53.7928833,91.4505494
240,285892317,53.7912846,91.4475667
241,285892319,53.7907332,91.4465153
242,285892321,53.7889395,91.4433932
243,285892323,53.7858844,91.4383507
244,285892325,53.7833108,91.4380288
245,285892327,53.7832925,91.4353637
246,285892329,53.7862394,91.4337802
247,285892331,53.7909296,91.4282066
248,285892344,53.7884324,91.4267152
249,285892350,53.7900043,91.4263612
250,285892352,53.7913765,91.4275414
251,285892354,53.7928611,91.4241216
252,285892356,53.7929165,91.4203262
253,285892358,53.7929038,91.4196235
254,285892360,53.7870697,91.4130735
255,285892362,53.7860872,91.4131486
256,285892364,53.7793804,91.4124513
257,285892366,53.7780903,91.4165765
258,285892368,53.7765465,91.4176333
259,285892370,53.7778969,91.4146560
260,285892372,53.7782234,91.4132881
261,285892374,53.7787908,91.4118129
262,285892378,53.7809431,91.4084923
263,285911889,53.5904119,91.7893345
264,285911890,53.5911761,91.7899138
265,285911892,53.5915709,91.7893559
266,285911894,53.5922332,91.7897422
267,285911896,53.5926661,91.7912013
268,285911898,53.5932775,91.7920596
269,285911900,53.5943217,91.7939908
270,285911902,53.5949458,91.7955572
271,285911904,53.5952896,91.7968017
272,285911906,53.5960409,91.7998059
273,285911908,53.5965631,91.8017585
274,285911911,53.5967286,91.8029815
275,285911913,53.5967032,91.8038828
276,285911915,53.5966777,91.8045909
277,285911917,53.5963466,91.8051917
278,285911919,53.5954042,91.8069083
279,285911921,53.5935218,91.8096124
280,285911923,53.5926977,91.8100825
281,285911925,53.5924994,91.8114634
282,285911927,53.5910444,91.8166524
283,285911929,53.5882106,91.8192151
284,285911931,53.5877887,91.8169349
285,285911933,53.5876001,91.8174883
286,285911935,53.5858515,91.8073660
287,285911937,53.5855840,91.8051129
288,285911939,53.5853420,91.7992550
289,285911940,53.5862470,91.7942482
290,285911941,53.5863997,91.7930037
291,285911942,53.5877499,91.7877680
292,285911943,53.5897872,91.7888481
293,286515491,53.7464180,91.4402965
294,286515492,53.7463265,91.4398297
295,286515493,53.7463187,91.4395724
296,286515494,53.7464573,91.4393053
297,286515495,53.7465561,91.4372950
298,286515496,53.7466175,91.4354831
299,286515497,53.7467304,91.4332920
300,286515499,53.7466863,91.4317698
301,286515500,53.7467383,91.4261798
302,286515501,53.7467713,91.4254363
303,286515502,53.7467920,91.4244573
304,286515503,53.7468916,91.4223361
305,286515504,53.7469687,91.4212043
306,286515505,53.7469620,91.4206008
307,286515506,53.7469950,91.4188198
308,286515507,53.7470594,91.4171971
309,286515508,53.7470798,91.4157209
310,286515509,53.7470735,91.4156626
311,286515512,53.7471061,91.4154399
312,286515513,53.7471444,91.4150647
313,286515514,53.7472256,91.4149274
314,286515516,53.7474665,91.4149274
315,286515517,53.7475363,91.4151586
316,286515518,53.7475495,91.4160858
317,286515522,53.7474588,91.4205451
318,286515524,53.7474452,91.4209952
319,286515525,53.7474207,91.4221025
320,286515526,53.7472694,91.4279601
321,286515527,53.7471401,91.4332028
322,286515529,53.7469477,91.4395837
323,286515530,53.7469935,91.4398336
324,286515531,53.7469901,91.4399304
325,286515533,53.7468059,91.4463304
326,286515534,53.7463223,91.4464248
327,286515536,53.7463107,91.4454287
328,286515537,53.7463256,91.4446848
329,286515538,53.7463733,91.4429913
330,286515539,53.7464356,91.4421495
331,286515540,53.7464274,91.4409337
332,286516022,53.7418978,91.4471392
333,286516023,53.7422633,91.4470104
334,286516024,53.7425679,91.4470104
335,286516025,53.7428572,91.4468817
336,286516027,53.7431523,91.4468532
337,286516028,53.7434760,91.4466782
338,286516029,53.7436162,91.4464720
339,286516030,53.7438417,91.4460420
340,286516031,53.7438627,91.4457448
341,286516032,53.7437849,91.4451780
342,286516033,53.7437156,91.4446366
343,286516035,53.7437438,91.4443267
344,286516036,53.7438497,91.4443258
345,286516037,53.7438040,91.4446600
346,286516038,53.7438186,91.4450262
347,286516040,53.7439746,91.4455657
348,286516041,53.7440761,91.4459005
349,286516042,53.7440572,91.4460688
350,286516043,53.7441037,91.4463931
351,286516044,53.7441332,91.4465932
352,286516045,53.7441682,91.4468212
353,286516046,53.7443807,91.4469734
354,286516047,53.7444416,91.4470334
355,286516049,53.7446267,91.4470345
356,286516050,53.7448349,91.4469039
357,286516051,53.7449568,91.4468564
358,286516052,53.7453121,91.4465732
359,286516053,53.7454542,91.4465388
360,286516054,53.7455862,91.4465045
361,286516056,53.7459871,91.4465303
362,286516057,53.7461699,91.4465388
363,286516058,53.7462765,91.4464876
364,286516061,53.7468187,91.4468932
365,286516069,53.7462729,91.4490810
366,286516070,53.7462580,91.4484185
367,286516071,53.7463146,91.4478896
368,286516073,53.7463003,91.4473112
369,286516074,53.7461953,91.4471795
370,286516075,53.7454894,91.4471520
371,286516076,53.7451344,91.4470195
372,286516078,53.7449974,91.4470195
373,286516079,53.7448496,91.4471730
374,286516080,53.7448105,91.4471501
375,286516081,53.7443908,91.4473081
376,286516082,53.7442792,91.4471961
377,286516083,53.7440456,91.4471536
378,286516084,53.7439975,91.4472318
379,286516085,53.7437632,91.4473448
380,286516087,53.7435236,91.4473949
381,286516088,53.7433756,91.4474368
382,286516090,53.7432893,91.4474969
383,286516091,53.7431421,91.4475313
384,286516092,53.7429898,91.4476686
385,286516093,53.7422726,91.4477395
386,286516095,53.7410468,91.4478187
387,286516096,53.7409181,91.4473023
388,286516098,53.7415019,91.4471735
389,286516353,53.7447913,91.4470897
390,286516731,53.7461853,91.4534988
391,286516733,53.7462601,91.4508895
392,286516734,53.7462190,91.4502717
393,286516735,53.7462785,91.4497267
394,286516736,53.7467757,91.4489651
395,286516738,53.7467684,91.4504576
396,286516743,53.7466518,91.4538027
397,286516745,53.7463567,91.4544455
398,286516868,53.7461586,91.4541265
399,286516870,53.7461745,91.4519074
400,286516872,53.7467051,91.4508581
401,286516874,53.7466806,91.4532434
402,286516875,53.7464813,91.4541801
403,286516876,53.7462327,91.4543849
404,290164397,53.7404358,91.4473810
405,290164399,53.7397942,91.4464980
406,290164400,53.7394646,91.4455137
407,290164401,53.7388285,91.4434677
408,290164402,53.7388135,91.4431141
409,290164404,53.7371385,91.4415338
410,290164405,53.7369235,91.4410483
411,290164406,53.7364825,91.4411746
412,290164407,53.7364411,91.4415386
413,290164409,53.7372728,91.4423877
414,290164415,53.7392661,91.4458515
415,290164420,53.7405299,91.4480064
416,290164428,53.7399807,91.4468548
417,290164430,53.7365931,91.4415555
418,290164435,53.7393616,91.4459631
419,290164436,53.7396130,91.4464120
420,290164437,53.7397359,91.4470506
421,290164438,53.7399863,91.4473931
422,290164552,53.7380746,91.4423781
423,290164553,53.7375418,91.4425336
424,290164555,53.7383492,91.4433007
425,290164558,53.7381936,91.4431121
426,290164595,53.7388307,91.4443589
427,330196075,53.6894772,91.5816343
428,330783080,53.7248668,91.3917383
429,330783082,53.7248993,91.3924265
430,330783083,53.7254425,91.3931592
431,330783089,53.7254819,91.3951788
432,330783106,53.7251772,91.3950227
433,330783107,53.7246671,91.3936440
434,330898383,53.7471221,91.4152192
435,330898388,53.7465532,91.4149047
436,330972622,53.7210134,91.4848111
437,344219754,53.6600857,91.5510171
438,344482782,53.8173381,91.2965188
439,344482786,53.8175410,91.2970857
440,344482787,53.8184529,91.2972369
441,344482788,53.8187314,91.2967433
