,0
475,8080549508
476,8080549505
477,8080549509
478,8080549504
479,8080549510
480,8080549512
481,8080549511
482,8080549513
483,8080549514
484,613489368
485,8080585769
486,8080585770
487,8080585768
488,8080585771
489,8080585772
490,8080585774
491,8080585773
492,8080585775
493,8080585776
494,8080585777
495,8080585778
496,8080585779
497,613489369
498,8080585780
499,8080585781
500,8080585782
501,8080585783
502,8080585766
503,8080585758
504,8080585767
505,8080585755
506,8080585757
507,8080585756
508,8080585765
509,8080585753
510,8080585764
511,8080585754
512,8080585763
513,8080585762
514,8080585761
515,8080585760
516,8080585759
517,8080585751
518,8080585750
519,8080585752
520,8080585744
521,8080585749
522,8080585745
523,8080585748
524,8080585746
525,8080585747
526,613489371
527,8080585743
528,8080585742
529,8080585741
530,8080585740
531,8080585739
532,8080585738
533,8080585737
534,8080585736
535,8080585735
536,8080585734
537,8080585729
538,8080585733
539,8080585732
540,8080585731
541,8080585730
542,8080585726
543,613489364
544,613489615
545,8080786061
546,8080786070
547,8080786062
548,8080786069
549,8080786064
550,8080786063
551,8080786065
552,8080786066
553,8080786067
554,8080786068
555,8080786054
556,8080786055
557,8080786056
558,8080786047
559,8080786071
560,8080786057
561,8080786046
562,8080786053
563,8080786052
564,8080786048
565,8080786051
566,8080786050
567,8080786045
568,8080786049
569,8080786044
570,8080786043
571,8080786042
572,613489617
573,8080786041
574,8080786040
575,8080786039
576,8080786038
577,8080786037
578,8080786036
579,8080503206
580,8080786035
581,8080503205
582,8080503203
583,8080503204
584,8080503201
585,613489620
586,8080503202
587,8080503195
588,8080503196
589,8080503194
590,8080503200
591,8080503192
592,8080503199
593,8080503193
594,8080503188
595,8080503198
596,8080503189
597,8080503191
598,8080503187
599,8080503197
600,8080503186
601,8080503190
602,8080503184
603,8080503185
604,8080503183
605,8080503182
606,8080503181
607,613489622
608,8080503180
609,8080503179
610,8080503178
611,8080503177
612,8080503176
613,8080503172
614,8080503175
615,8080503173
616,8080503174
617,8080503170
618,8080503171
619,8080503167
620,8080503169
621,8080503168
622,8080503166
623,613489624
624,8080503162
625,8080503155
626,8080503165
627,8080503161
628,8080503164
629,8080503156
630,8080503160
631,8080503154
632,8080503157
633,8080503163
634,8080503159
635,8080503158
636,8080503210
637,8080503209
638,613489627
639,8080503208
640,8080508325
641,8080503212
642,8080508326
643,8080503211
644,8080508324
645,8080508318
646,8080508323
647,8080508322
648,8080503215
649,8080508317
650,8080503216
651,8080508319
652,8080508321
653,8080508320
654,8080503214
655,8080503213
656,8080503207
657,8080508335
658,8080508334
659,613489630
660,8080508333
661,8080508332
662,8080508331
663,8080508330
664,613489632
665,8080525551
666,8080508329
667,8080508327
668,8080525552
669,8080508328
670,8080525553
671,8080525556
672,8080525557
673,8080525555
674,8080525558
675,8080525559
676,8080525560
677,8080525554
678,8080525562
679,8080525563
680,8080525564
681,8080525565
682,8080525566
683,8080525567
684,8080525568
685,8080525561
686,8080508405
687,8080525570
688,8080525569
689,8080525571
690,613489635
691,8080525575
692,8080525578
693,8080525574
694,8080525577
695,8080525576
696,8080525581
697,8080525582
698,8080525583
699,8080525584
700,8080525585
701,8080525573
702,8080525586
703,8080525579
704,8080525587
705,8080525580
706,8080525589
707,8080525572
708,8080525592
709,8080525588
710,8080525593
711,8080525591
712,8080525594
713,8080525590
714,8080525596
715,8080525597
716,8080525595
717,8080525598
718,8080525599
719,8080525600
720,8080525603
721,8080525602
722,8080525605
723,8080525601
724,8080525606
725,8080525604
726,8080525608
727,8080525607
728,8080525610
729,8080525611
730,8080525612
731,8080525609
732,8080525613
733,8080525615
734,8080525616
735,8080525614
736,8080508337
737,8080508336
738,613489637
739,8080508340
740,8080508341
741,8080508338
742,8080508345
743,8080508342
744,8080508339
745,8080508346
746,8080508347
747,8080508349
748,8080508350
749,8080508351
750,8080508348
751,8080508344
752,8080508353
753,8080508354
754,8080508343
755,8080508356
756,8080508352
757,8080508360
758,8080508358
759,8080508361
760,8080508359
761,8080508357
762,8080508363
763,8080508355
764,8080508362
765,8080508364
766,8080508365
767,613489638
768,8080508366
769,8080508368
770,8080508367
771,8080508369
772,8080508370
773,8080508372
774,8080508373
775,8080508376
776,8080508374
777,8080508377
778,8080508375
779,613489639
780,8080508371
781,8080508378
782,8080508379
783,8080508382
784,8080508380
785,8080508389
786,8080508381
787,8080508385
788,8080508386
789,8080508387
790,8080508388
791,8080508384
792,613489640
793,8080508383
794,8080508390
795,8080508393
796,8080508392
797,8080508394
798,8080508391
799,8080508396
800,8080508395
801,8080508397
802,613489641
803,8080508398
804,8080508400
805,8080508399
806,613489644
807,8080508401
808,8080508402
809,8080508404
810,8080508403
811,285144661
812,285575163
813,285144663
814,8080576959
815,8080576960
816,8080576963
817,8080576964
818,8080576965
819,8080576961
820,8080576962
821,8080576966
822,8080576958
823,613489472
824,8080576956
825,8080576957
826,8080576954
827,8080576955
828,8080576953
829,8080576950
830,7040980689
831,8080576951
832,8080576952
833,8080576948
834,8080576949
835,8080576947
836,8080576946
837,8080576945
838,8080576944
839,8080576943
840,8080576942
841,8080576941
842,8080576940
843,8080576936
844,8080576939
845,8080576935
846,8080576937
847,8080576938
848,613489475
849,8080576934
850,8080576930
851,8080576933
852,8080576929
853,8080576931
854,8080576932
855,8080576928
856,613489477
857,8080576922
858,8080576927
859,8080576923
860,8080576926
861,8080576921
862,8080576925
863,8080576924
864,613489480
865,8080576920
866,8080576919
867,8080576918
868,8080576917
869,8080556116
870,8080556115
871,8080556114
872,8080556113
873,8080556112
874,613489482
875,8080556108
876,8080556111
877,8080556110
878,8080556109
879,8080556107
880,8080556106
881,8080556105
882,8080556104
883,8080556100
884,8080556103
885,8080556102
886,8080556101
887,8080556099
888,8080556098
889,8080556096
890,8080556097
891,613489483
892,8080556094
893,8080556093
894,8080556086
895,8080556092
896,8080556085
897,8080556087
898,8080556088
899,8080556089
