,lat_from,lon_from,lat_to,lon_to
42,53.6820528,91.5811676,53.6822974,91.5811944
43,53.6822974,91.5811944,53.6825738,91.5811461
44,53.6825738,91.5811461,53.6829805,91.5810603
45,53.6829805,91.5810603,53.6834380,91.5809637
46,53.6834380,91.5809637,53.6839400,91.5809423
47,53.6839400,91.5809423,53.6849518,91.5810871
48,53.6849518,91.5810871,53.6849963,91.5810657
49,53.6849963,91.5810657,53.6850106,91.5810227
50,53.6850106,91.5810227,53.6850059,91.5809557
51,53.6850059,91.5809557,53.6849804,91.5809128
52,53.6849804,91.5809128,53.6844451,91.5808082
53,53.6844451,91.5808082,53.6835778,91.5806526
54,53.6835778,91.5806526,53.6825357,91.5804648
55,53.6825357,91.5804648,53.6815063,91.5803790
56,53.6815063,91.5803790,53.6803466,91.5802556
57,53.6803466,91.5802556,53.6800416,91.5802208
58,53.6800416,91.5802208,53.6799812,91.5801966
59,53.6799812,91.5801966,53.6799447,91.5801617
60,53.6799447,91.5801617,53.6799256,91.5801001
61,53.6799256,91.5801001,53.6799304,91.5800250
62,53.6799304,91.5800250,53.6799860,91.5799391
63,53.6799860,91.5799391,53.6800924,91.5798345
64,53.6800924,91.5798345,53.6803657,91.5796977
65,53.6803657,91.5796977,53.6806850,91.5795529
66,53.6806850,91.5795529,53.6806993,91.5794724
67,53.6806993,91.5794724,53.6806961,91.5793624
68,53.6806961,91.5793624,53.6806628,91.5792847
69,53.6806628,91.5792847,53.6805833,91.5792283
70,53.6805833,91.5792283,53.6804801,91.5792096
71,53.6804801,91.5792096,53.6795523,91.5793705
72,53.6795523,91.5793705,53.6787103,91.5795314
73,53.6787103,91.5795314,53.6778047,91.5795958
74,53.6778047,91.5795958,53.6771646,91.5796598
75,53.6771646,91.5796598,53.6767339,91.5797621
76,53.6767339,91.5797621,53.6763844,91.5799123
77,53.6763844,91.5799123,53.6761492,91.5800035
78,53.6761492,91.5800035,53.6759331,91.5800625
79,53.6759331,91.5800625,53.6756757,91.5801108
80,53.6756757,91.5801108,53.6754056,91.5801215
81,53.6754056,91.5801215,53.6737818,91.5800571
82,53.6737818,91.5800571,53.6725901,91.5800303
83,53.6725901,91.5800303,53.6723423,91.5801215
84,53.5945712,91.8078906,53.5945126,91.8095173
85,53.5945126,91.8095173,53.5937918,91.8102213
86,53.5937918,91.8102213,53.5935218,91.8096124
87,53.5935218,91.8096124,53.5926977,91.8100825
88,53.5926977,91.8100825,53.5924212,91.8108009
89,53.5924212,91.8108009,53.5924994,91.8114634
90,53.5924994,91.8114634,53.5923012,91.8121675
91,53.5923012,91.8121675,53.5920902,91.8128049
92,53.5920902,91.8128049,53.5916286,91.8135511
93,53.5916286,91.8135511,53.5913640,91.8140883
94,53.5913640,91.8140883,53.5911901,91.8149330
95,53.5911901,91.8149330,53.5910444,91.8166524
96,53.5910444,91.8166524,53.5911963,91.8184586
97,53.5911963,91.8184586,53.5880511,91.8206278
98,53.5880511,91.8206278,53.5882106,91.8192151
99,53.5882106,91.8192151,53.5881856,91.8184788
100,53.5881856,91.8184788,53.5882619,91.8178492
101,53.5882619,91.8178492,53.5882557,91.8173102
102,53.5882557,91.8173102,53.5880609,91.8169954
103,53.5880609,91.8169954,53.5877887,91.8169349
104,53.5877887,91.8169349,53.5876001,91.8174883
105,53.5876001,91.8174883,53.5875971,91.8181746
106,53.5875971,91.8181746,53.5873920,91.8185160
107,53.5873920,91.8185160,53.5870421,91.8184796
108,53.5870421,91.8184796,53.5865370,91.8176490
109,53.5865370,91.8176490,53.5862537,91.8168183
110,53.5862537,91.8168183,53.5860813,91.8155020
111,53.5860813,91.8155020,53.5861085,91.8142230
112,53.5861085,91.8142230,53.5860841,91.8128432
113,53.5860841,91.8128432,53.5859911,91.8112042
114,53.5859911,91.8112042,53.5860933,91.8100933
115,53.5860933,91.8100933,53.5858515,91.8073660
116,53.5858515,91.8073660,53.5855840,91.8051129
117,53.5855840,91.8051129,53.5854439,91.8030745
118,53.5854439,91.8030745,53.5853420,91.7992550
119,53.5853420,91.7992550,53.5862470,91.7942482
120,53.5862470,91.7942482,53.5863997,91.7930037
121,53.5863997,91.7930037,53.5863297,91.7920810
122,53.5863297,91.7920810,53.5864602,91.7910832
123,53.5864602,91.7910832,53.5866911,91.7903698
124,53.5866911,91.7903698,53.5868448,91.7894981
125,53.5868448,91.7894981,53.5869770,91.7884074
126,53.5869770,91.7884074,53.5872366,91.7877888
127,53.5872366,91.7877888,53.5875011,91.7876675
128,53.5875011,91.7876675,53.5877499,91.7877680
129,53.5877499,91.7877680,53.5882450,91.7865534
130,53.5882450,91.7865534,53.5884854,91.7866692
131,53.5884854,91.7866692,53.5888897,91.7870295
132,53.5888897,91.7870295,53.5894691,91.7877072
133,53.5894691,91.7877072,53.5897872,91.7888481
134,53.5897872,91.7888481,53.5902142,91.7892951
135,53.5902142,91.7892951,53.5904119,91.7893345
136,53.5904119,91.7893345,53.5906157,91.7887658
137,53.5906157,91.7887658,53.5907303,91.7889106
138,53.5907303,91.7889106,53.5907112,91.7893908
139,53.5907112,91.7893908,53.5909564,91.7898668
140,53.5909564,91.7898668,53.5911761,91.7899138
141,53.5911761,91.7899138,53.5915709,91.7893559
142,53.5915709,91.7893559,53.5919466,91.7890341
143,53.5919466,91.7890341,53.5922332,91.7897422
144,53.5922332,91.7897422,53.5923608,91.7901223
145,53.7471253,91.4342131,53.7471401,91.4332028
146,53.7471401,91.4332028,53.7471934,91.4313247
147,53.7471934,91.4313247,53.7472103,91.4304090
148,53.7472103,91.4304090,53.7472385,91.4292382
149,53.7472385,91.4292382,53.7472553,91.4290084
150,53.7472553,91.4290084,53.7472590,91.4288321
151,53.7472590,91.4288321,53.7472553,91.4285614
152,53.7472553,91.4285614,53.7472694,91.4279601
153,53.7408947,91.4677081,53.7407528,91.4680971
154,53.7407528,91.4680971,53.7405376,91.4684449
155,53.7405376,91.4684449,53.7403873,91.4685234
156,53.7403873,91.4685234,53.7399200,91.4686720
157,53.7399200,91.4686720,53.7392635,91.4693498
158,53.7392635,91.4693498,53.7387718,91.4706820
159,53.7387718,91.4706820,53.7387119,91.4712841
160,53.7387119,91.4712841,53.7387056,91.4718276
161,53.7387056,91.4718276,53.7387633,91.4721708
162,53.7387633,91.4721708,53.7388398,91.4724545
163,53.7244851,91.3921308,53.7248668,91.3917383
164,53.7248668,91.3917383,53.7250210,91.3919343
